movie_id,title,genre,release_year,imdb_rating,watch_time_minutes
3188,Neon Mirage 3188,Documentary,1972,5.5,181250
6594,Hidden Journey 6594,Documentary,1985,4.9,155063
4863,Forgotten Odyssey 4863,Fantasy,2017,6.2,501950
3368,Eternal Legacy 3368,Drama,1984,5.4,0
2006,Quiet Echo 2006,Documentary,1982,6.7,393241
8766,Quiet Journey 8766,SciFi,1991,6.2,646074
1987,Eternal Legacy 1987,SciFi,1977,7.1,183970
800,Endless Mirage 800,Romance,1987,6.9,453913
8985,Endless Frontier 8985,Animation,2005,5.7,174253
9265,Secret Odyssey 9265,Thriller,1991,9.7,630193
5173,Dark Storm 5173,Romance,2014,6.7,163980
5246,Last Shadow 5246,Romance,2026,6.5,573807
3367,Forgotten Echo 3367,SciFi,2026,6.5,215697
936,Dark Horizon 936,Animation,2026,6.9,0
5500,Eternal Requiem 5500,Comedy,2026,7.5,608023
2514,Silent Echo 2514,SciFi,2025,6.3,851918
4787,Hidden Requiem 4787,SciFi,2008,7.3,868758
6494,Golden Requiem 6494,Fantasy,2006,7.3,177449
1178,Frozen Reflection 1178,Horror,1979,8.8,386130
7421,Golden Frontier 7421,Comedy,1974,6.5,397361
3468,Forgotten Empire 3468,Thriller,1986,6.5,713818
8649,Distant Odyssey 8649,SciFi,1997,6.6,328322
5848,Lost Storm 5848,Horror,2009,5.4,0
1535,Quiet Paradox 1535,Comedy,1977,7.0,726084
3429,Distant Chronicles 3429,Documentary,2020,7.5,307944
8426,Last Harbor 8426,Drama,2003,7.7,135612
4503,Last Mirage 4503,Thriller,2006,5.3,612017
5669,Lost Harbor 5669,Romance,1979,8.0,193924
9550,Distant Signal 9550,Horror,2009,7.3,268065
3767,Forgotten Empire 3767,Documentary,2024,8.0,608392
317,Frozen Mirage 317,Drama,2010,6.0,93106
9108,Eternal Harbor 9108,Animation,1994,7.0,637007
6859,Last Descent 6859,SciFi,2014,7.3,913425
7838,Secret Passage 7838,Animation,1978,7.1,608058
2993,Crimson Empire 2993,Documentary,2013,5.2,16670
4191,Forgotten Passage 4191,Comedy,2011,6.2,672885
8326,Secret Frontier 8326,Animation,2018,6.4,238876
7785,Neon Frontier 7785,SciFi,2021,8.6,0
4601,Eternal Verdict 4601,Fantasy,2013,6.9,748611
45,Dark Empire 45,Drama,1971,8.3,1029183
9236,Forgotten Mirage 9236,Action,2022,4.2,149089
2520,Wild Requiem 2520,SciFi,1982,8.2,691885
6502,Hidden Shadow 6502,Comedy,2017,6.7,208579
3008,Silent Mirage 3008,Animation,1970,3.9,477468
5720,Golden Kingdom 5720,Documentary,2006,4.7,411713
7388,Golden Descent 7388,Romance,2000,8.5,969369
1209,Endless Requiem 1209,Animation,2008,8.7,575785
6554,Endless Chronicles 6554,Action,2009,6.6,681185
2134,Eternal Horizon 2134,SciFi,1994,5.1,33165
5701,Forgotten Paradox 5701,Animation,1999,4.5,11277
4204,Golden Odyssey 4204,Comedy,2014,6.4,829778
6105,Quiet Paradox 6105,Animation,2012,6.6,671468
6113,Neon Requiem 6113,Animation,2003,6.1,435710
479,Dark Paradox 479,Thriller,2006,5.3,504819
6247,Silent Descent 6247,Romance,1986,5.2,681189
5460,Golden Passage 5460,SciFi,2008,7.9,816914
9078,Frozen Requiem 9078,Romance,1970,6.8,715003
5079,Crimson Empire 5079,Horror,1971,7.1,417331
1561,Hidden Empire 1561,Fantasy,2017,6.2,293608
707,Crimson Signal 707,Drama,1993,7.4,742476
5003,Dark Echo 5003,Animation,1985,5.4,444620
6376,Eternal Mirage 6376,Fantasy,1999,7.0,291653
9931,Burning Storm 9931,Horror,1980,5.6,263465
4211,Eternal Harbor 4211,Thriller,2025,7.1,429387
2228,Crimson Requiem 2228,Action,2025,7.1,300383
8405,Secret Shadow 8405,Animation,2017,10.0,289539
3565,Quiet Passage 3565,Animation,2026,6.2,1214230
6122,Rising Empire 6122,Horror,2006,7.3,511477
7280,Burning Reflection 7280,Fantasy,2008,6.5,23478
5391,Fallen Journey 5391,Fantasy,1996,7.3,730942
4911,Neon Horizon 4911,Romance,1970,7.9,0
2095,Endless Requiem 2095,Thriller,1991,7.6,623331
3076,Crimson Journey 3076,Thriller,1971,6.5,713200
6689,Golden Verdict 6689,Drama,1976,4.8,646207
9662,Distant Empire 9662,SciFi,2016,7.4,439410
2147,Neon Verdict 2147,Romance,1994,5.8,285884
2543,Broken Harbor 2543,Drama,2015,6.4,370028
2653,Lost Echo 2653,Horror,1987,5.0,903060
7207,Lost Mirage 7207,Fantasy,2004,6.6,595399
